word,note,folderId
門外漢,もんがいかん｜その分野の素人,academic
瓦解,がかい｜まとまりが崩れて壊れること,academic
詭計,きけい｜人をだます策略,academic
喫緊,きっきん｜差し迫って重要なこと,academic
寛恕,かんじょ｜寛大に許すこと,academic
憂慮,ゆうりょ｜心配して思い悩むこと,academic
叡智,えいち｜すぐれた知恵,academic
反駁,はんばく｜相手の意見を論じて否定すること,academic
唾棄,だき｜ひどく嫌って捨てること,academic
端緒,たんしょ｜物事の始まり,academic
疑義,ぎぎ｜疑問点,academic
具申,ぐしん｜上位者に意見を述べること,academic
上申,じょうしん｜上の立場に報告すること,academic
叛意,はんい｜反逆の意思,academic
階梯,かいてい｜段階や階級,academic
営為,えいい｜営みや活動,academic
閾値,いきち｜反応が起こる境界値,academic
拘泥,こうでい｜必要以上にこだわること,academic
越権,えっけん｜権限を超えること,academic
惨憺,さんたん｜ひどく悲惨な状態,academic
傍証,ぼうしょう｜間接的な証拠,academic
詮ない,せんない｜仕方がないこと,academic
輪番,りんばん｜順番に担当すること,academic
里程標,りていひょう｜物事の節目,academic
増槽,ぞうそう｜航空機の追加燃料タンク,academic
鋳型,いがた｜型にはめて作る枠,academic
人垣,ひとがき｜人が集まってできた囲み,academic
後刻,こうこく｜あとで,academic
陥穽,かんせい｜落とし穴,academic
公聴会,こうちょうかい｜公的な意見聴取会,academic
叡慮,えいりょ｜天皇の考え,academic
泰然,たいぜん｜落ち着いて動じない様子,academic
反証,はんしょう｜反対の証拠,academic
多寡,たか｜数量の多少,academic
偉容,いよう｜堂々とした姿,academic
邀撃,ようげき｜敵を迎え撃つこと,academic
拿捕,だほ｜船などを捕らえること,academic
折衝,せっしょう｜交渉して解決を図ること,academic
採決,さいけつ｜多数決で決めること,academic
萌芽,ほうが｜物事の始まり,academic
折衷案,せっちゅうあん｜中間の案,academic
営巣,えいそう｜巣を作ること,academic
公然,こうぜん｜隠さず表立っていること,academic
越境,えっきょう｜境界を越えること,academic
収斂,しゅうれん｜一つに集まること,academic
乖離,かいり｜離れてしまうこと,academic
涵養,かんよう｜育て養うこと,academic
帰結,きけつ｜最終結果,academic
発露,はつろ｜内面の表れ,academic
薄氷を踏む,はくひょうをふむ｜危険な状況にあることのたとえ,idiom
堅忍不抜,けんにんふばつ｜困難に耐えて志を曲げないこと,idiom
深謀遠慮,しんぼうえんりょ｜深く計画して考えること,idiom
荒唐無稽,こうとうむけい｜でたらめで根拠がないこと,idiom
唯々諾々,いいだくだく｜言われるまま従うこと,idiom
泰然自若,たいぜんじじゃく｜落ち着いて動じないこと,idiom
青天の霹靂,せいてんのへきれき｜突然の出来事,idiom
絵に描いた餅,えにかいたもち｜役に立たないもの,idiom
骨折り損,ほねおりぞん｜苦労が報われないこと,idiom
歯に衣着せず,はにきぬきせず｜遠慮なく言うこと,idiom
横紙破り,よこがみやぶり｜無理に自分の意見を通すこと,idiom
言を俟たない,ことをまたない｜言うまでもないこと,idiom
掛け値なし,かけねなし｜誇張なしの評価,idiom
枝葉末節,しようまっせつ｜重要でない細かい部分,idiom
矢も楯もたまらない,やもたてもたまらない｜我慢できないこと,idiom
灰燼に帰す,かいじんにきす｜完全に滅びること,idiom
理の当然,りのとうぜん｜道理から当然のこと,idiom
よるべない,よるべない｜頼るものがない,idiom
蠱惑的,こわくてき｜妖しい魅力で人を引きつけるさま,literature
婀娜,あだ｜女性の姿がしなやかで美しいさま,literature
宵の口,よいのくち｜夜になったばかりの時間,literature
悠然,ゆうぜん｜落ち着いてゆったりしている様子,literature
